policy,episode,seed,episode_reward,score,steps,steps_survived,food_collected,snake_length,steps_since_food,cause_of_death,end_reason,won,terminated,truncated
DQN,1,200000,245.5400000000012,260,473,472,26,29,16,wall,wall,False,True,False
DQN,2,200001,275.46000000000265,290,484,483,29,32,11,self,self,False,True,False
DQN,3,200002,196.24000000000052,210,398,397,21,24,8,self,self,False,True,False
DQN,4,200003,156.85000000000008,170,333,332,17,20,21,self,self,False,True,False
DQN,5,200004,383.87000000000285,400,654,653,40,43,14,self,self,False,True,False
DQN,6,200005,246.8800000000012,260,339,338,26,29,9,self,self,False,True,False
DQN,7,200006,157.18000000000023,170,300,299,17,20,21,self,self,False,True,False
DQN,8,200007,235.78000000000208,250,448,447,25,28,1,wall,wall,False,True,False
DQN,9,200008,403.31000000000466,420,712,711,42,45,30,self,self,False,True,False
DQN,10,200009,334.5500000000023,350,581,580,35,38,17,self,self,False,True,False
DQN,11,200010,138.2199999999998,150,194,193,15,18,11,self,self,False,True,False
DQN,12,200011,117.9599999999993,130,218,217,13,16,1,wall,wall,False,True,False
DQN,13,200012,264.16000000000184,280,613,612,28,31,23,self,self,False,True,False
DQN,14,200013,412.53000000000515,430,791,790,43,46,17,self,self,False,True,False
DQN,15,200014,285.07000000000266,300,524,523,30,33,8,self,self,False,True,False
DQN,16,200015,157.61000000000075,170,257,256,17,20,41,self,self,False,True,False
DQN,17,200016,403.7600000000036,420,667,666,42,45,9,self,self,False,True,False
DQN,18,200017,314.3700000000032,330,597,596,33,36,23,self,self,False,True,False
DQN,19,200018,245.5100000000019,260,476,475,26,29,10,self,self,False,True,False
DQN,20,200019,177.19000000000068,190,301,300,19,22,37,self,self,False,True,False
DQN,21,200020,98.87999999999985,110,124,123,11,14,5,self,self,False,True,False
DQN,22,200021,334.12000000000296,350,624,623,35,38,7,self,self,False,True,False
DQN,23,200022,266.32000000000176,280,397,396,28,31,12,self,self,False,True,False
DQN,24,200023,462.930000000005,480,756,755,48,51,10,self,self,False,True,False
DQN,25,200024,452.460000000005,470,802,801,47,50,9,self,self,False,True,False
DQN,26,200025,196.72000000000028,210,350,349,21,24,10,self,self,False,True,False
DQN,27,200026,334.04000000000354,350,632,631,35,38,17,self,self,False,True,False
DQN,28,200027,167.93,180,226,225,18,21,4,self,self,False,True,False
DQN,29,200028,295.56000000000137,310,476,475,31,34,6,self,self,False,True,False
DQN,30,200029,177.04999999999978,190,315,314,19,22,4,self,self,False,True,False
DQN,31,200030,364.10000000000247,380,629,628,38,41,6,self,self,False,True,False
DQN,32,200031,314.2400000000025,330,610,609,33,36,18,self,self,False,True,False
DQN,33,200032,286.42000000000144,300,389,388,30,33,2,self,self,False,True,False
DQN,34,200033,206.680000000001,220,355,354,22,25,4,wall,wall,False,True,False
DQN,35,200034,365.2500000000026,380,514,513,38,41,16,self,self,False,True,False
DQN,36,200035,226.36000000000064,240,389,388,24,27,12,self,self,False,True,False
DQN,37,200036,362.65000000000424,380,774,773,38,41,12,self,self,False,True,False
