policy,block,episode,seed,random_action_seed,score,steps,steps_survived,food_collected,snake_length,steps_since_food,cause_of_death,end_reason,won,terminated,truncated,turn_ratio,episode_reward
Random,500000,1,500000,1500000,0,39,38,0,3,39,wall,wall,False,True,False,0.6153846153846154,-10.38
Random,500000,2,500001,1500000,0,39,38,0,3,39,wall,wall,False,True,False,0.717948717948718,-10.38
Random,500000,3,500002,1500000,0,67,66,0,3,67,wall,wall,False,True,False,0.7313432835820896,-10.66
Random,500000,4,500003,1500000,0,119,118,0,3,119,wall,wall,False,True,False,0.6134453781512605,-11.180000000000001
Random,500000,5,500004,1500000,0,94,93,0,3,94,wall,wall,False,True,False,0.7127659574468085,-10.93
Random,500000,6,500005,1500000,10,74,73,1,4,13,wall,wall,False,True,False,0.5540540540540541,-0.7199999999999971
Random,500000,7,500006,1500000,0,53,52,0,3,53,wall,wall,False,True,False,0.8113207547169812,-10.52
Random,500000,8,500007,1500000,10,138,137,1,4,75,wall,wall,False,True,False,0.717391304347826,-1.3599999999999852
Random,500000,9,500008,1500000,0,81,80,0,3,81,wall,wall,False,True,False,0.6790123456790124,-10.8
Random,500000,10,500009,1500000,0,79,78,0,3,79,wall,wall,False,True,False,0.7468354430379747,-10.780000000000001
Random,500000,11,500010,1500000,0,113,112,0,3,113,wall,wall,False,True,False,0.5486725663716814,-11.120000000000001
Random,500000,12,500011,1500000,0,26,25,0,3,26,wall,wall,False,True,False,0.46153846153846156,-10.25
Random,500000,13,500012,1500000,0,82,81,0,3,82,wall,wall,False,True,False,0.6829268292682927,-10.81
Random,500000,14,500013,1500000,0,56,55,0,3,56,wall,wall,False,True,False,0.6607142857142857,-10.55
Random,500000,15,500014,1500000,0,93,92,0,3,93,wall,wall,False,True,False,0.6989247311827957,-10.92
Random,500000,16,500015,1500000,0,54,53,0,3,54,wall,wall,False,True,False,0.7777777777777778,-10.530000000000001
Random,500000,17,500016,1500000,0,27,26,0,3,27,wall,wall,False,True,False,0.5555555555555556,-10.26
Random,500000,18,500017,1500000,0,44,43,0,3,44,wall,wall,False,True,False,0.6363636363636364,-10.43
Random,500000,19,500018,1500000,0,75,74,0,3,75,wall,wall,False,True,False,0.6533333333333333,-10.74
Random,500000,20,500019,1500000,10,88,87,1,4,39,wall,wall,False,True,False,0.7272727272727273,-0.8599999999999923
Random,500000,21,500020,1500000,0,32,31,0,3,32,wall,wall,False,True,False,0.6875,-10.31
Random,500000,22,500021,1500000,0,67,66,0,3,67,wall,wall,False,True,False,0.6268656716417911,-10.66
Random,500000,23,500022,1500000,0,109,108,0,3,109,wall,wall,False,True,False,0.6238532110091743,-11.08
Random,500000,24,500023,1500000,0,168,167,0,3,168,wall,wall,False,True,False,0.6785714285714286,-11.670000000000002
Random,500000,25,500024,1500000,0,64,63,0,3,64,wall,wall,False,True,False,0.53125,-10.63
Random,500000,26,500025,1500000,0,30,29,0,3,30,wall,wall,False,True,False,0.5666666666666667,-10.290000000000001
Random,500000,27,500026,1500000,0,34,33,0,3,34,wall,wall,False,True,False,0.8529411764705882,-10.33
Random,500000,28,500027,1500000,0,27,26,0,3,27,wall,wall,False,True,False,0.6296296296296297,-10.26
Random,500000,29,500028,1500000,0,35,34,0,3,35,wall,wall,False,True,False,0.6,-10.34
Random,500000,30,500029,1500000,0,318,317,0,3,318,wall,wall,False,True,False,0.7264150943396226,-13.169999999999977
