policy,seed,assistance,score,food_collected,steps,steps_survived,turn_ratio,terminated,truncated,won,end_reason,max_length,max_occupancy_percent,reached_half,ordered_requested_step,ordered_locked_step,ordered_steps,recovery_steps,repeated_states,max_repeated_cycle_length,repeated_ordered_states,unexpected_ordered_fallbacks,ordered_progress_errors,collision_after_requested,collision_after_locked,no_food_after_requested,steps_half_to_win,elapsed_seconds,overrides,max_decision_ms
Ultimate,0,True,3970,397,16788,16788,0.16172265904217298,True,False,True,board_full,400,100,True,6685,6994,9794,309,0,0,0,0,0,False,False,False,10103,2.3969381999999997,6193,1054.7377000000001
Ultimate,1,True,3970,397,15843,15843,0.15906078394243514,True,False,True,board_full,400,100,True,6350,6676,9167,326,0,0,0,0,0,False,False,False,9493,4.0355419999999995,5952,1406.8511000000003
Ultimate,2,True,3970,397,16819,16819,0.17016469469052856,True,False,True,board_full,400,100,True,6540,6988,9831,448,0,0,0,0,0,False,False,False,10279,3.9948225,6326,1512.235999999999
Ultimate,3,True,3970,397,17633,17633,0.16707310157091818,True,False,True,board_full,400,100,True,6647,6847,10786,200,0,0,0,0,0,False,False,False,10986,1.880759899999999,6849,867.6499999999996
Ultimate,4,True,3970,397,17456,17456,0.17277726856095327,True,False,True,board_full,400,100,True,7039,7504,9952,465,0,0,0,0,0,False,False,False,10417,3.7391467999999985,6352,1015.1843000000008
Ultimate,5,True,3970,397,16183,16183,0.15880862633627882,True,False,True,board_full,400,100,True,5690,5975,10208,285,0,0,0,0,0,False,False,False,10493,1.9706077000000004,6449,930.3827000000019
Ultimate,6,True,3970,397,18632,18632,0.15543151567196223,True,False,True,board_full,400,100,True,7086,7596,11036,510,0,0,0,0,0,False,False,False,11546,2.5968652000000003,6976,1419.758899999997
Ultimate,7,True,3970,397,16084,16084,0.15493658293956727,True,False,True,board_full,400,100,True,6471,6869,9215,398,0,0,0,0,0,False,False,False,9613,3.227765800000001,5992,1601.287400000001
Ultimate,8,True,3970,397,16639,16639,0.16359156199290822,True,False,True,board_full,400,100,True,6135,6362,10277,227,0,0,0,0,0,False,False,False,10504,1.9632353999999979,6218,971.5203000000001
Ultimate,9,True,3970,397,16675,16675,0.16755622188905547,True,False,True,board_full,400,100,True,6498,6699,9976,201,0,0,0,0,0,False,False,False,10177,1.8316490000000012,6038,857.1797000000006
Ultimate,10,True,3970,397,16365,16365,0.16229758631225175,True,False,True,board_full,400,100,True,6366,6862,9503,496,0,0,0,0,0,False,False,False,9999,4.2399032000000005,6033,1014.3963000000003
Ultimate,11,True,3970,397,16205,16205,0.1642702869484727,True,False,True,board_full,400,100,True,6568,7218,8987,650,0,0,0,0,0,False,False,False,9637,6.828586300000003,6065,921.2658999999985
Ultimate,12,True,3970,397,18243,18243,0.1667488899851998,True,False,True,board_full,400,100,True,6900,7400,10843,500,0,0,0,0,0,False,False,False,11343,2.8527628999999943,6695,939.5095999999976
Ultimate,13,True,3970,397,17124,17124,0.16433076384022424,True,False,True,board_full,400,100,True,6775,7100,10024,325,0,0,0,0,0,False,False,False,10349,2.8752574999999996,6570,1056.2753000000012
Ultimate,14,True,3970,397,17343,17343,0.18237905783313152,True,False,True,board_full,400,100,True,7005,7494,9849,489,0,0,0,0,0,False,False,False,10338,3.439355300000003,6124,937.1247000000003
Ultimate,15,True,3970,397,16456,16456,0.14742343218279047,True,False,True,board_full,400,100,True,6182,6466,9990,284,0,0,0,0,0,False,False,False,10274,2.3320727000000043,6364,1110.2068
Ultimate,16,True,3970,397,15885,15885,0.14907145105445388,True,False,True,board_full,400,100,True,5950,6151,9734,201,0,0,0,0,0,False,False,False,9935,2.2500246999999947,5977,879.3561000000045
Ultimate,17,True,3970,397,17057,17057,0.1636864630357038,True,False,True,board_full,400,100,True,6771,7013,10044,242,0,0,0,0,0,False,False,False,10286,2.0216407000000034,6406,992.0240000000049
Ultimate,18,True,3970,397,16726,16726,0.17194786559846945,True,False,True,board_full,400,100,True,6894,7295,9431,401,0,0,0,0,0,False,False,False,9832,5.1896754000000005,6117,1671.2168999999994
Ultimate,19,True,3970,397,16607,16607,0.16041428313361836,True,False,True,board_full,400,100,True,6717,6938,9669,221,0,0,0,0,0,False,False,False,9890,1.909459600000002,6191,915.6633999999976
