policy,seed,assistance,score,food_collected,steps,steps_survived,turn_ratio,terminated,truncated,won,end_reason,max_length,max_occupancy_percent,reached_half,ordered_requested_step,ordered_locked_step,ordered_steps,recovery_steps,repeated_states,max_repeated_cycle_length,repeated_ordered_states,unexpected_ordered_fallbacks,ordered_progress_errors,collision_after_requested,collision_after_locked,no_food_after_requested,steps_half_to_win,elapsed_seconds,overrides,max_decision_ms
Ultimate,0,True,3970,397,15158,15158,0.17172450191318117,True,False,True,board_full,400,100,True,6685,8650,6508,1965,0,0,0,0,0,False,False,False,8473,0.8165604,4707,1.5137
Ultimate,1,True,3970,397,15609,15609,0.16592991223012366,True,False,True,board_full,400,100,True,6350,8574,7035,2224,0,0,0,0,0,False,False,False,9259,0.7062830999999999,5344,0.5988999999999578
Ultimate,2,True,3850,385,37015,37015,0.18749155747669863,False,True,False,no_food_limit,388,97,True,6540,,0,30475,9041,388,0,0,0,False,False,True,,2.790123,6881,0.9850000000001273
Ultimate,3,True,3970,397,16217,16217,0.1962138496639329,True,False,True,board_full,400,100,True,6647,11399,4818,4752,0,0,0,0,0,False,False,False,9570,1.0994398,5020,0.6702999999997701
Ultimate,4,True,3710,371,33499,33499,0.18513985492104243,False,True,False,no_food_limit,374,93.5,True,7039,,0,26460,9254,374,0,0,0,False,False,True,,2.5524179000000005,7164,0.8046000000003914
Ultimate,5,True,3970,397,16461,16461,0.18334244578093675,True,False,True,board_full,400,100,True,5690,14142,2319,8452,0,0,0,0,0,False,False,False,10771,1.0973591000000005,5292,0.7899999999999636
Ultimate,6,True,3810,381,35692,35692,0.19158354813403564,False,True,False,no_food_limit,384,96,True,7086,,0,28606,9248,384,0,0,0,False,False,True,,2.7075038000000005,6442,0.8370999999988271
Ultimate,7,True,3970,397,14988,14988,0.16253002401921537,True,False,True,board_full,400,100,True,6471,7941,7047,1470,0,0,0,0,0,False,False,False,8517,0.8216151000000009,5125,0.6356000000014319
Ultimate,8,True,3970,397,16909,16909,0.18901176888047785,True,False,True,board_full,400,100,True,6135,14826,2083,8691,0,0,0,0,0,False,False,False,10774,1.3051981999999989,5365,1.0781000000006316
Ultimate,9,True,3970,397,16215,16215,0.17280296022201666,True,False,True,board_full,400,100,True,6498,7132,9083,634,0,0,0,0,0,False,False,False,9717,0.8227618999999995,5644,0.5048999999999069
Ultimate,10,True,3810,381,35484,35484,0.1967647390373126,False,True,False,no_food_limit,384,96,True,6366,,0,29118,9411,384,0,0,0,False,False,True,,3.5630135000000007,6445,0.9301999999988766
Ultimate,11,True,3970,397,16663,16663,0.1644361759587109,True,False,True,board_full,400,100,True,6568,8730,7933,2162,0,0,0,0,0,False,False,False,10095,1.2431088999999993,5908,1.015800000001036
Ultimate,12,True,3830,383,34947,34947,0.20574012075428505,False,True,False,no_food_limit,386,96.5,True,6900,,0,28047,9230,386,0,0,0,False,False,True,,3.4862271999999974,7046,1.0587000000014086
Ultimate,13,True,3970,397,16860,16860,0.17247924080664295,True,False,True,board_full,400,100,True,6775,9452,7408,2677,0,0,0,0,0,False,False,False,10085,1.2040808000000034,6001,0.8591000000014901
Ultimate,14,True,3730,373,33799,33799,0.20015385070564218,False,True,False,no_food_limit,376,94,True,7005,,0,26794,9570,376,0,0,0,False,False,True,,3.366849299999998,6315,1.337100000000646
Ultimate,15,True,3670,367,31525,31525,0.160253766851705,False,True,False,no_food_limit,370,92.5,True,6182,,0,25343,9414,370,0,0,0,False,False,True,,3.3785893,6507,2.198499999998603
Ultimate,16,True,3750,375,33820,33820,0.1745712596096984,False,True,False,no_food_limit,378,94.5,True,5950,,0,27870,9244,378,0,0,0,False,False,True,,3.6269144000000053,6966,1.1377000000029511
Ultimate,17,True,3730,373,35097,35097,0.18212382824742857,False,True,False,no_food_limit,376,94,True,6771,,0,28326,8901,376,0,0,0,False,False,True,,3.7958024000000004,7295,1.741600000001199
Ultimate,18,True,3530,353,28295,28295,0.188443187842375,False,True,False,no_food_limit,356,89,True,6894,,0,21401,9498,356,0,0,0,False,False,True,,2.7994596999999994,6319,1.3184999999939464
Ultimate,19,True,3790,379,34876,34876,0.18029590549374927,False,True,False,no_food_limit,382,95.5,True,6717,,0,28159,9333,382,0,0,0,False,False,True,,3.4694761,7364,1.8418000000019674
