policy,episode,seed,episode_reward,score,steps,steps_survived,food_collected,snake_length,steps_since_food,cause_of_death,end_reason,won,terminated,truncated,budget_cut,complete,decisions,mean_latency_ms
Qwen,1,300000,5.890000000000086,10,412,412,1,4,400,,no_food_limit,False,False,True,False,True,412,1307.1058533980286
Qwen,2,300001,9.550000000000008,10,46,46,1,4,34,,wall_time_budget,False,False,False,True,False,47,1307.2212063829709
Random,1,300000,-12.419999999999993,0,243,242,0,3,243,wall,wall,False,True,False,False,True,243,0.0014530864131369595
Random,2,300001,-0.4399999999999995,10,46,45,1,4,8,wall,wall,False,True,False,False,True,46,0.002680434788445659
Random,3,300002,-11.32,0,133,132,0,3,133,wall,wall,False,True,False,False,True,133,0.0014744360341044508
Random,4,300003,-10.5,0,51,50,0,3,51,wall,wall,False,True,False,False,True,51,0.0016529414935183583
Random,5,300004,-10.860000000000001,0,87,86,0,3,87,wall,wall,False,True,False,False,True,87,0.0013586206436250895
Random,6,300005,-10.58,0,59,58,0,3,59,wall,wall,False,True,False,False,True,59,0.0012135593444049769
Random,7,300006,-11.14,0,115,114,0,3,115,wall,wall,False,True,False,False,True,115,0.001454782614018768
Random,8,300007,-10.28,0,29,28,0,3,29,wall,wall,False,True,False,False,True,29,0.0015689657974972166
Random,9,300008,-10.25,0,26,25,0,3,26,wall,wall,False,True,False,False,True,26,0.0015538460922051365
Random,10,300009,-10.33,0,34,33,0,3,34,wall,wall,False,True,False,False,True,34,0.0014911765367073445
Random,11,300010,-1.0599999999999987,10,108,107,1,4,11,wall,wall,False,True,False,False,True,108,0.001147222233326088
Random,12,300011,-10.99,0,100,99,0,3,100,wall,wall,False,True,False,False,True,100,0.0015099999836820643
Random,13,300012,-11.790000000000001,0,180,179,0,3,180,wall,wall,False,True,False,False,True,180,0.0010838888556463644
Random,14,300013,-11.4,0,141,140,0,3,141,wall,wall,False,True,False,False,True,141,0.0010212766705700097
Random,15,300014,-10.71,0,72,71,0,3,72,wall,wall,False,True,False,False,True,72,0.0018958332930196775
Random,16,300015,-0.5099999999999927,10,53,52,1,4,34,wall,wall,False,True,False,False,True,53,0.0011792450987861299
Random,17,300016,-10.870000000000001,0,88,87,0,3,88,wall,wall,False,True,False,False,True,88,0.001007954634505123
Random,18,300017,-11.71,0,172,171,0,3,172,wall,wall,False,True,False,False,True,172,0.0010674417818907302
