episode,episode_reward,score,epsilon,training_loss,moving_average_score,steps,steps_survived,food_collected,terminated,truncated,end_reason,environment_steps,optimizer_updates
1,-10.3,0,0.9997055,,0,31,30,0,True,False,wall,31,0
2,-10.64,0,0.999088,,0,65,64,0,True,False,wall,96,0
3,-10.72,0,0.9983945,,0,73,72,0,True,False,wall,169,0
4,-10.73,0,0.9976915,,0,74,73,0,True,False,wall,243,0
5,-10.28,0,0.997416,,0,29,28,0,True,False,wall,272,0
6,-10.97,0,0.996485,,0,98,97,0,True,False,wall,370,0
7,-10.67,0,0.995839,,0,68,67,0,True,False,wall,438,0
8,-10.46,0,0.9953925,,0,47,46,0,True,False,wall,485,0
9,-10.19,0,0.9952025,,0,20,19,0,True,False,wall,505,0
10,-10.2,0,0.995003,,0,21,20,0,True,False,wall,526,0
11,-10.780000000000001,0,0.9942525,,0,79,78,0,True,False,wall,605,0
12,-10.27,0,0.9939865,,0,28,27,0,True,False,wall,633,0
13,-10.96,0,0.993065,,0,97,96,0,True,False,wall,730,0
14,-10.700000000000001,0,0.9923905,,0,71,70,0,True,False,wall,801,0
15,-10.23,0,0.9921625,,0,24,23,0,True,False,wall,825,0
16,-10.36,0,0.991811,,0,37,36,0,True,False,wall,862,0
17,-10.49,0,0.991336,,0,50,49,0,True,False,wall,912,0
18,-10.26,0,0.9910795,,0,27,26,0,True,False,wall,939,0
19,-10.51,0,0.9905855,,0,52,51,0,True,False,wall,991,0
20,-10.48,0,0.99012,0.153941937235438,0,49,48,0,True,False,wall,1040,11
21,-10.31,0,0.989816,0.2440791662374977,0,32,31,0,True,False,wall,1072,19
22,-10.32,0,0.9895025,0.16861685087314982,0,33,32,0,True,False,wall,1105,27
23,-10.82,0,0.988714,0.17083301013432597,0,83,82,0,True,False,wall,1188,48
24,-10.540000000000001,0,0.9881915,0.217158815863793,0,55,54,0,True,False,wall,1243,61
25,-11.32,0,0.986928,0.16937279752442813,0,133,132,0,True,False,wall,1376,95
26,-10.77,0,0.986187,0.14633307097200918,0,78,77,0,True,False,wall,1454,114
27,-10.780000000000001,0,0.9854365,0.1453118758799974,0,79,78,0,True,False,wall,1533,134
28,-10.33,0,0.9851135,0.12655832373820886,0,34,33,0,True,False,wall,1567,142
29,-10.780000000000001,0,0.984363,0.1361609562052763,0,79,78,0,True,False,wall,1646,162
30,-10.38,0,0.9839925,0.27099246756406503,0,39,38,0,True,False,wall,1685,172
31,-10.27,0,0.9837265,0.12212937441238735,0,28,27,0,True,False,wall,1713,179
32,-10.34,0,0.983394,0.1415624141712518,0,35,34,0,True,False,wall,1748,188
33,-10.46,0,0.9829475,0.20301484049625948,0,47,46,0,True,False,wall,1795,199
34,-11.05,0,0.9819405,0.23154240434437437,0,106,105,0,True,False,wall,1901,226
35,-10.19,0,0.9817505,0.21572760809212924,0,20,19,0,True,False,wall,1921,231
36,-10.290000000000001,0,0.9814655,0.0762222981346505,0,30,29,0,True,False,wall,1951,238
37,-10.92,0,0.980582,0.1668226423256177,0,93,92,0,True,False,wall,2044,262
38,-10.68,0,0.9799265,0.1259504925315816,0,69,68,0,True,False,wall,2113,279
39,-10.540000000000001,0,0.979404,0.1630205808822731,0,55,54,0,True,False,wall,2168,293
40,-10.28,0,0.9791285,0.09685109659663535,0,29,28,0,True,False,wall,2197,300
41,-10.4,0,0.978739,0.22113713207654656,0,41,40,0,True,False,wall,2238,310
42,-10.35,0,0.978397,0.10142765970279773,0,36,35,0,True,False,wall,2274,319
43,-10.98,0,0.9774565,0.10822332661133259,0,99,98,0,True,False,wall,2373,344
44,-10.49,0,0.9769815,0.10317329420164849,0,50,49,0,True,False,wall,2423,356
45,-10.84,0,0.976174,0.1037836393568961,0,85,84,0,True,False,wall,2508,378
46,-10.17,0,0.976003,0.11217556416522712,0,18,17,0,True,False,wall,2526,382
47,-10.24,0,0.9757655,0.06225054097982744,0,25,24,0,True,False,wall,2551,388
48,-10.33,0,0.9754425,0.1004518366082468,0,34,33,0,True,False,wall,2585,397
49,-10.21,0,0.9752335,0.10811480812262744,0,22,21,0,True,False,wall,2607,402
50,-11.620000000000001,0,0.973685,0.080345389485734,0,163,162,0,True,False,wall,2770,443
51,-10.57,0,0.973134,0.07142285781446844,0,58,57,0,True,False,wall,2828,458
52,-11.110000000000001,0,0.97207,0.04046555789370489,0,112,111,0,True,False,wall,2940,486
53,-10.4,0,0.9716805,0.015878189145587383,0,41,40,0,True,False,wall,2981,496
54,-10.38,0,0.97131,0.03692185980034992,0,39,38,0,True,False,wall,3020,506
55,-10.5,0,0.9708255,0.04780502401990816,0,51,50,0,True,False,wall,3071,518
56,-11.0,0,0.969866,0.03351315922694854,0,101,100,0,True,False,wall,3172,544
57,-10.89,0,0.969011,0.020745661051478237,0,90,89,0,True,False,wall,3262,566
58,-10.46,0,0.9685645,0.06891403664485551,0,47,46,0,True,False,wall,3309,578
